Term,Section Name,Requisites,Description,Available Seats,Enrolled,Capacity,Waitlisted,Instructor Method,Modality 1 Schedule,Modality 1 Instructor,Modality 1 Times,Modality 1 Location,Modality 1 Days,Modality 2 Times,Modality 2 Days,Modality 2 Instructor,Modality 2 Location
Spring 2025,ACCT-151A-01,None,Intro to Accounting,0,43,43,4,Required Zoom Meetings Lecture,2/3/2025 - 5/31/2025,Farima Fakoor,9:00 AM - 11:05 AM,None,M/W,None,None,None,None,None
Spring 2025,ACCT-155-01,None,Payroll Accounting,25,18,43,0,No Required Times Online Lect,2/3/2025 - 5/31/2025,Farima Fakoor, - ,None,,None,None,None,None,None
Spring 2025,ACCT-16-01,None,Accounting Ethics,0,43,43,1,No Required Times Online Lect,2/3/2025 - 5/31/2025,Laurienne Hammond, - ,None,,None,None,None,None,None
Spring 2025,ACCT-1A-02,None,Financial Accountng,14,29,43,0,No Required Times Online Lect,2/3/2025 - 3/29/2025,Laurienne Hammond, - ,None,,None,None,None,None,None
Spring 2025,ACCT-1B-LS03,None,Managerial Acct,1,42,43,0,No Required Times Online Lect,4/7/2025 - 5/31/2025,Laurienne Hammond, - ,None,,None,None,None,None,None
Spring 2025,ACCT-451A-01,None,Intro to Accounting,0,43,43,1,Required Zoom Meetings Lecture,2/3/2025 - 5/31/2025,Farima Fakoor,9:00 AM - 11:05 AM,None,M/W,None,None,None,None,None
Spring 2025,ACCT-455-01,None,Payroll Accounting,25,18,43,0,No Required Times Online Lect,2/3/2025 - 5/31/2025,Farima Fakoor, - ,None,,None,None,None,None,None
Spring 2025,ACCT-59-01,None,Fraud Examination,23,20,43,0,No Required Times Online Lect,2/3/2025 - 5/31/2025,Laurienne Hammond, - ,None,,None,None,None,None,None
Spring 2025,ADAPT-79-01,None,Integrated Dance,10,15,25,0,Required Times on Campus Lab,2/3/2025 - 5/31/2025,Stephanie A. Spencer,10:00 AM - 10:50 AM,None,T,10:00 AM - 11:05 AM,Th,None,None,None
Spring 2025,ADAPT-90-01,None,Adaptive Swimming,9,16,25,0,Required Times on Campus Lab,2/3/2025 - 5/31/2025,Celia Z. Brezner,12:40 PM - 2:00 PM,None,M/W,None,None,None,None,None
Spring 2025,ADAPT-91-01,None,Adaptive Bowling,14,16,30,0,Required Times on Campus Lab,2/3/2025 - 5/31/2025,Leonard S. Norton,3:00 PM - 5:05 PM,None,M,None,None,None,None,None
Spring 2025,ADAPT-93-01,None,Ex/Fitness Adaptive,0,25,25,1,Required Times on Campus Lab,2/3/2025 - 5/31/2025,Leonard S. Norton,10:00 AM - 10:50 AM,None,M,10:00 AM - 11:05 AM,W,Joanna E. Manoff,None,Joanna E. Manoff
Spring 2025,ADAPT-96-01,None,Adaptive Yoga,0,20,20,5,Required Times on Campus Lab,2/3/2025 - 5/31/2025,Leonard S. Norton,11:10 AM - 12:30 PM,None,W,None,None,None,None,None
Spring 2025,AH-10-01,None,Apprec/Intro Art,0,60,60,21,No Required Times Online Lect,2/3/2025 - 5/31/2025,Louisa I. Benhissen, - ,None,,None,None,None,None,None
Spring 2025,AH-11H-HONRS,None,Honors Ancient Art,19,16,35,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Heather K. Gray,12:40 PM - 2:00 PM,None,T/Th,None,None,None,None,None
Spring 2025,AH-13-01,None,Renaissance to 19C,21,39,60,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Heather K. Gray,11:10 AM - 12:30 PM,None,T/Th,None,None,None,None,None
Spring 2025,AH-14-01,None,Modern Art,0,60,60,5,No Required Times Online Lect,2/3/2025 - 5/31/2025,Heather E. Crowley, - ,None,,None,None,None,None,None
Spring 2025,AH-16-01,None,Art India/SE Asia,17,43,60,0,No Required Times Online Lect,2/3/2025 - 5/31/2025,Rose Smith, - ,None,,None,None,None,None,None
Spring 2025,AH-19-01,None,Art of the Americas,0,60,60,2,No Required Times Online Lect,2/3/2025 - 5/31/2025,Heather K. Gray, - ,None,,None,None,None,None,None
Spring 2025,AH-20B-01,None,Survey/Ren-Present,0,60,60,1,No Required Times Online Lect,2/3/2025 - 5/31/2025,Rose Smith, - ,None,,None,None,None,None,None
Spring 2025,AH-479-01,None,Creative Careers,14,16,30,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Leslie Murray,6:00 PM - 9:05 PM,None,M, - ,,Gabriel J. Medina,None,Gabriel J. Medina
Spring 2025,AH-53-01,None,Contemporary Art,34,26,60,0,No Required Times Online Lect,2/3/2025 - 5/31/2025,Rose Smith, - ,None,,None,None,None,None,None
Spring 2025,AH-79-01,None,Creative Careers,14,16,30,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Leslie Murray,6:00 PM - 9:05 PM,None,M, - ,,Gabriel J. Medina,None,Gabriel J. Medina
Spring 2025,ALH-110-AMAP,None,ALH Foundation Crse,0,30,30,0,Required Times on Campus Lab,1/21/2025 - 1/24/2025,Ashlyn M. James,8:00 AM - 11:50 AM,None,T/W/Th/F,1:00 PM - 4:50 PM,T/W/Th/F,Laurie J. Colombani,None,Laurie J. Colombani
Spring 2025,ANTHR-1-01,None,Intro Anthro: Biological,18,26,44,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Rachel K. Mitchell,9:30 AM - 10:50 AM,None,T/Th,None,None,None,None,None
Spring 2025,ANTHR-13-01,None,Forensic Anthropology,7,37,44,0,No Required Times Online Lect,2/3/2025 - 5/31/2025,Kristin J. Wilson, - ,None,,None,None,None,None,None
Spring 2025,ANTHR-17-01,None,Food and Culture,0,44,44,17,No Required Times Online Lect,2/3/2025 - 5/31/2025,Rachel K. Mitchell, - ,None,,None,None,None,None,None
Spring 2025,ANTHR-1L-01,None,Biological Anthro Lab,7,17,24,0,Required Times on Campus Lab,2/3/2025 - 5/31/2025,Rachel K. Mitchell,11:10 AM - 12:30 PM,None,T/Th,None,None,None,None,None
Spring 2025,ANTHR-2-01,None,Intro Anthro: Cultural,19,22,41,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Dustin K. McKenzie,9:30 AM - 10:50 AM,None,M/W,None,None,None,None,None
Spring 2025,ANTHR-2H-HONRS,None,Honors Anthro Cultural,5,30,35,0,Required Times on Campus Lect,2/3/2025 - 5/31/2025,Dustin K. McKenzie,2:10 PM - 3:30 PM,None,M/W,None,None,None,None,None
